en_term_processed;en_definition_processed;ru_term_processed;ru_definition_processed
scan tunnel microscopi;techniqu use quantum tunnel imag surfac atom level scan sharp tip surfac measur tunnel current tip sampl;сканирующ туннельн микроскоп;метод использ квантов туннелирован получен изображен поверхн атомн уровн пут сканирован остр игл измерен туннельн ток игл образц
scatchard;plot biochemistri analyz bind data ratio bound free ligand plot bound ligand concentr;скэтчард;график используем биохим анализ связыван отношен связа лиганд свободн откладыва прот концентрац связа лиганд
scatchard equat;mathemat relationship biochemistri analyz bind equilibria express rc kn r r bound ligand c free ligand k bind constant n number bind site;уравнен скатчард;математическ соотношен используем биохим анализ равновес связыван выража rc kn r r связа лиганд c свободн лиганд k констант связыван n числ сайт связыван
scatter radiat;radiat chang direct interact matter result energi loss wavelength shift;рассея излучен;излучен изменя направлен изз взаимодейств веществ сопровожда потер энерг изменен длин волн
scatter factor;measur effici particl structur scatter radiat xray crystallographi describ atom electron densiti;фактор рассеян;мер эффективн частиц структур рассеян излучен используем рентгеновск кристаллограф описан электрон плотност атом
scf;selfconsist field iter method quantum chemistri solv schrödinger equat adjust electron densiti converg;самосогласова пол;итерацион метод квантов хим решен уравнен шредингер пут корректировк электрон плотност достижен сходим
schoenfli system;notat system point group molecular symmetri classifi molecul base rotat reflect symmetri element;систем шенфлис;систем обозначен точечн групп молекулярн симметр классифицирующ молекул основ вращательн зеркальн элемент симметр
schrödinger;erwin schrödinger austrian physicist formul wave equat schrödinger equat central quantum mechan describ quantum state evolv time;шредингер;эрвин шредингер австрийск физик сформулирова волнов уравнен уравнен шредингер ключев квантов механик описыва эволюц квантов состоян времен
schroding equat;fundament equat quantum mechan describ quantum state physic system chang time incorpor wave function predict probabl distribut particl;уравнен шредингер;фундаментальн уравнен квантов механик описыва изменен квантов состоян систем времен использован волнов функц предсказан распределен вероятн частиц
schrödinger equat harmon oscil;quantum mechan equat describ energi state particl quadrat potenti lead quantiz energi level en n 12ħω n quantum number ħ reduc planck constant ω angular frequenc oscil;уравнен шредингер гармоническ осциллятор;квантовомеханическ уравнен описыва энергетическ состоян частиц квадратичн потенциальн ям приводя квантова уровн энерг en n 12ħω n квантов числ ħ приведен постоя планк ω углов частот осциллятор
schulzehardi rule;empir rule state coagul colloid primarili determin valenc counterion higher valenc ion effect;прав шульцегард;эмпирическ прав утвержда коагуляц коллоид основн определя валентн противоион прич ион высок валентн эффективн
second deriv;calculu second deriv deriv deriv measur rate chang function rate chang;втор производн;математическ анализ втор производн производн производн измеря скорост изменен скорост изменен функц
second harmon gener;nonlinear optic process photon combin materi produc singl photon twice energi frequenc origin photon;генерац втор гармоник;нелинейн оптическ процесс два фотон объединя материал образу фотон удвоен энерг частот исходн фотон
second ioniz energi;energi requir remov second electron singli charg posit ion form doubli charg ion;втор энерг ионизац;энерг необходим удален втор электрон однозарядн положительн ион образу двузарядн ион
second law implic entropi;second law thermodynam state total entropi isol system decreas time constant process revers impli natur process tend state maximum entropi disord;следств втор закон энтроп;втор закон термодинамик утвержда энтроп изолирова систем уменьша времен постоян обратим процесс означа естествен процесс стрем состоян максимальн энтроп беспорядк
second law thermodynam;fundament principl state total entropi isol system decreas time tend increas;втор закон термодинамик;фундаментальн принцип утвержда полн энтроп изолирова систем уменьша времен стрем увеличен
second overton;harmon vibrat spectrum correspond transit ground state excit state energi approxim time fundament frequenc;втор обертон;трет гармоник колебательн спектр соответствующ переход основн состоян трет возбужден состоян энерг примерн три раз выш основн частот
secondari kinet isotop effect;chang reaction rate isotop substitut posit directli involv bond breakingform reflect alter vibrat steric effect;вторичн кинетическ изотопн эффект;изменен скорост реакц изз изотопн замещен положен участв непосредствен разрывеобразован связ отража модифицирова вибрацион стерическ эффект
secondari structur;local fold structur polypeptid chain stabil hydrogen bond backbon atom primarili alphahelic betasheet;вторичн структур;локальн свернут структур полипептидн цеп стабилизирова водородн связ атом остов основн альфаспира беталист
secondord perturb;method quantum mechan physic chemistri approxim energi wavefunct correct system consid secondord term perturb seri expans firstord correct insuffici;втор порядок теор возмущен;метод квантов механик физическ хим приближа поправк энерг волнов функц систем учет член втор порядк разложен теор возмущен применя поправк перв порядк недостаточн
secondord reaction;chemic reaction rate proport product concentr reactant squar concentr singl reactant describ rate law rate kab rate ka2;реакц втор порядк;химическ реакц скорост пропорциональн произведен концентрац двух реагент квадрат концентрац реагент описыва закон скорост rate kab rate ka2
secondord reaction;chemic reaction rate proport product concentr reactant squar concentr singl reactant follow rate law rate kab rate ka2;реакц втор порядк;химическ реакц скорост пропорциональн произведен концентрац двух реагент квадрат концентрац реагент согласн закон скорост rate kab rate ka2
secondord spectra;spectra result secondord interact spectroscopi appear weaker higherord peak alongsid primari spectral line;спектр втор порядк;спектр возника изз взаимодейств втор порядк спектроскоп проявля слаб пик высш порядк основн спектральн лин
secondord transit;phase transit deriv gibb free energi continu second deriv discontinu case glass transit lambda transit liquid helium;фазов переход втор род;фазов переход перв производн свободн энерг гиббс непрерывн втор производн разрывн стеклован λпереход жидк гел
secular;relat longterm chang process occur extend period context thermodynam kinet;секулярн;относя долгосрочн изменен процесс происходя течен длительн период использ контекст термодинамик кинетик
secular determin;determin quantum mechan find eigenvalu hamiltonian matrix repres energi level system;секулярн определител;определител используем квантов механик нахожден собствен значен матриц гамильтон представля энергетическ уровн систем
secular equat;determin equat quantum mechan find energi eigenvalu system typic deriv schrödinger equat;секулярн уравнен;определительн уравнен используем квантов механик нахожден энергетическ собствен значен систем выводим уравнен шредингер
select rule;quantum mechan principl determin transit state allow forbidden base symmetri conserv law;прав отбор;квантовомеханическ принцип определя разреш запрещ переход двум состоян основ симметр закон сохранен
select rule;quantum mechan rule determin transit quantum state allow forbidden base symmetri conserv law;прав отбор;квантовомеханическ прав определя разрешен запрещен переход двум квантов состоян основ симметр закон сохранен
selfadjoint;properti oper hilbert space equal adjoint mean satisfi condit ⟨aψ φ⟩ ⟨ψ aφ⟩ vector ψ φ space properti crucial quantum mechan ensur real eigenvalu unitari time evolut;самосопряжен;свойств оператор гильбертов пространств равн сопряжен ⟨аψ φ⟩ ⟨ψ аφ⟩ вектор ψ φ важн квантов механик веществен собствен значен унитарн эволюц
selfassembl monolay;singl layer molecul spontan organ surfac form order structur intermolecular interact wide nanotechnolog surfac scienc;самосборн моносл;одиночн сло молекул спонта организ поверхн формиру упорядочен структур счет межмолекулярн взаимодейств широк применя нанотехнолог наук поверхн
selfassembl;process molecul particl spontan organ order structur pattern extern direct driven noncoval interact hydrogen bond van der waal forc hydrophob effect;самосборк;процесс молекул частиц спонта организ упорядочен структур внешн воздейств влиян нековалентн взаимодейств водородн связ сил вандерваальс гидрофобн эффект
selfdischarg rate;rate batteri lose charg time use intern chemic reaction extern factor like temperatur affect storag capac perform;скорост саморазряд;скорост батаре теря заряд времен использован изз внутрен химическ реакц внешн фактор температур влия емкост производительн
selforgan;process system spontan form organ structur pattern extern direct result local interact compon system phenomenon observ field includ physic chemistri biolog social scienc;самоорганизац;процесс систем спонта формир упорядочен структур паттерн внешн воздейств возника изз локальн взаимодейств компонент систем наблюда физик хим биолог социальн наук
sem;scan electron microscop instrument produc imag sampl scan focus beam electron reveal surfac topographi composit;растров электрон микроскоп;прибор созда изображен образц пут сканирован сфокусирова пучк электрон позволя изуча топограф поверхн соста
semiconductor;materi electr conduct conductor insul electron devic tunabl properti;полупроводник;материа электропроводн проводник изолятор используем электрон устройств регулируем свойств
semiconductor;materi electr conduct conductor insul properti modifi dope temperatur chang wide electron devic like transistor diod;полупроводник;материал электропроводн проводник изолятор свойств изменя легирован температур широк используем электрон устройств транзистор диод
semiempir method;comput chemistri approach combin theoret principl empir data approxim molecular properti balanc accuraci comput cost;полуэмпирическ метод;вычислительн метод хим сочета теоретическ принцип эмпирическ дан приближен расчет молекулярн свойств обеспечив баланс точност вычислительн затрат
separ variabl;mathemat method solv partial differenti equat assum solut written product function depend singl coordin reduc pde set ordinari differenti equat;разделен перемен;математическ метод решен дифференциальн уравнен частн производн предполага решен представ вид произведен функц завис перемен свод учп систем обыкновен дифференциальн уравнен
separ technolog;set method process separ mixtur individu compon base differ physic chemic properti size charg solubl boil point wide appli industri like chemic engin pharmaceut environment scienc;технолог разделен;совокупн метод процесс разделен смес отдельн компонент основ различ физическ химическ свойств размер заряд растворим температур кипен применя химическ промышлен фармацевтик эколог
seri expans;represent function infinit sum term calcul deriv singl point approxim;разложен ряд;представлен функц вид бесконечн сумм член вычислен производн точк используем приближен
shake;rapid backandforth movement vibrat laboratori set mix solut suspens ensur homogen facilit chemic reaction;встряхиван;быстр возвратнопоступательн движен вибрац используем лаборатор перемешиван раствор суспенз цел обеспечен однородн ускорен химическ реакц
shape memori alloy;metal materi return origin shape deform expos specif temperatur revers phase transform austenit martensit phase medic devic actuat aerospac applic;сплав памят форм;металлическ материал способн возвраща исходн форм деформац определен температур обратим фазов превращен аустенит мартенсит применя медицин авиакосмическ отрасл привод
shear;forc caus layer materi slide parallel result deform chang volum;сдвиг;сил вызыва параллельн смещен сло материа приводя деформац изменен объем
shear modulu;materi properti measur rigid shear stress defin ratio shear stress shear strain;модул сдвиг;свойств материа характериз жесткост сдвигов напряжен определя отношен напряжен сдвиг деформац сдвиг
shell;set atom orbit princip quantum number defin energi level spatial distribut electron atom;оболочк;набор атомн орбитал одинаков главн квантов числ определя энергетическ уровен пространствен распределен электрон атом
shield nuclear charg;effect nuclear charg experienc electron atom reduc shield electron nucleu;экранирова ядерн заряд;эффективн ядерн заряд испытыва электрон атом уменьшен счет экранирован электрон ядр
shield;reduct effect nuclear charg electron repuls electron atom affect atom properti like ioniz energi atom radiu;экранирован;уменьшен эффективн ядерн заряд электрон изз отталкиван электрон атом влия свойств энерг ионизац атомн радиус
shield constant;measur reduct effect nuclear charg electron shield electron atom;экранирующ постоя;мер уменьшен эффективн заряд ядр электрон изз экранирован электрон атом
shift left;phenomenon chemic equilibrium posit equilibrium shift reactant decreas concentr product increas concentr reactant describ le chateli principl;смещен влев;явлен химическ равновес положен равновес смеща сторон реагент изз уменьшен концентрац продукт увеличен концентрац реагент согласн принцип ле шател
shift right;phenomenon system equilibrium move direct favor format product consumpt reactant chang condit concentr temperatur pressur;сдвиг вправ;явлен систем равновес смеща сторон образован продукт расходован реагент изз изменен услов концентрац температур давлен
shortrang order;regular arrang atom molecul limit distanc materi typic atom molecular diamet;ближн порядок;упорядочен расположен атом молекул ограничен расстоян материал предел нескольк атомн молекулярн диаметр
si unit;intern system unit si modern form metric system compris coher system unit measur built seven base unit;единиц си;международн систем единиц си современ форм метрическ систем представля согласова сист единиц измерен основа сем основн единиц
sidecentr unit cell;unit cell lattic point center opposit face addit corner belong ccenter bravai lattic system;боковоцентрирова элементарн ячейк;элементарн ячейк узл решетк центр двух противоположн гран угл относя cцентрирова систем брав
siemen unit;si unit electr conduct equal amper volt 1 av reciproc ohm;сименс единиц измерен;единиц измерен электрическ проводим си равн ампер вольт 1 ав явля обратн величин ом
sigma;measur dispers set data point mean commonli statist repres standard deviat;сигм;мер разброс набор относительн средн значен используем статистик обозначен стандартн отклонен
sigma bond;type coval chemic bond form headon overlap atom orbit character electron densiti concentr internuclear axi strongest type coval bond allow free rotat bond atom;сигмасвяз;тип ковалентн химическ связ образ осев перекрыван атомн орбитал электрон плотност вдол межъядерн ос прочн тип ковалентн связ допуска свободн вращен связа атом
sigma orbit;molecular orbit form headon overlap atom orbit character cylindr symmetri internuclear axi involv singl coval bond;сигмаорбитал;молекулярн орбитал образова лобов перекрыван атомн орбитал характеризующ цилиндрическ симметр относительн межъядерн ос участвующ одинарн ковалентн связ
sigma orbit;sigma orbit molecular orbit form headon overlap atom orbit result cylindr symmetr electron densiti distribut internuclear axi strongest type coval bond found singl bond atom;сигмаорбита;сигмаорбита молекулярн орбита образова лобов перекрыт атомн орбитал созда цилиндрическ симметричн распределен электрон плотност вдол межъядерн ос прочн тип ковалентн связ встреча одинарн связ атом
similar transform;mathemat oper transform matrix matrix eigenvalu possibl differ eigenvector defin p⁻¹ap p invert matrix;преобразован подоб;математическ операц преобразующ матриц друг матриц собствен значен собствен вектор определя a п⁻¹ап p обратим матриц
singlemolecul experi;experiment techniqu studi properti behavior individu molecul provid insight molecular interact dynam mechan obscur ensembl measur;эксперимент одиночн молекул;экспериментальн метод изуча свойств поведен отдельн молекул раскрыва молекулярн взаимодейств динамик механизм скрыт ансамблев измерен
singlemolecul spectroscopi;techniqu studi optic properti individu molecul enabl observ heterogen dynam obscur ensembl measur provid insight molecular interact conform chang photophys process singlemolecul level;спектроскоп одиночн молекул;метод исследован оптическ свойств отдельн молекул позволя наблюда гетероген динамик скрыт ансамблев измерен дает информац молекулярн взаимодейств конформацион изменен фотофизическ процесс уровн молекул
singlephas region;region phase diagram phase exist specif condit temperatur pressur composit character uniform physic chemic properti;однофазн област;област фазов диаграмм определен услов температур давлен состав существ фаз характеризующ однородн физическ химическ свойств
singlet state;quantum state system electron spin pair result total spin angular momentum zero observ photochemistri;синглетн состоян;квантов состоян систем спарен спин электрон приводя нулев суммарн спинов момент наблюда фотохим
singlet term;quantum state total spin quantum number s0 character singl energi level absenc spin multipl;синглетн терм;квантов состоян полн спинов квантов числ s0 характериз уровн энерг изз отсутств спинов мультиплетн
singlevalu function;function input correspond exactli output ensur uniqu result element domain;однозначн функц;функц кажд входн значен соответств ровн выходн значен обеспечив уникальн результат кажд элемент област определен
sinter;process compact form solid mass materi heat pressur melt point liquefact powder metallurgi ceram creat object powder materi;спекан;процесс уплотнен формирован тверд материа действ тепл давлен плавлен используем порошков металлург керамик создан издел порошков материал
skim;process colloid chemistri lighter particl droplet rise surfac liquid densiti differ separ concentr purpos;снят верхн сло;процесс коллоидн хим легк частиц капл всплыва поверхн жидкост изз разниц плотност использ разделен концентрирован
slip plane;crystallograph plane disloc motion occur plastic deform crystallin materi;плоскост скольжен;кристаллографическ плоскост вдол происход движен дислокац пластическ деформац кристаллическ материал
slope;measur steep inclin line calcul ratio vertic chang horizont chang point line mathemat repres letter m equat y mx b;наклон;мер крутизн уклон лин вычисля отношен вертикальн изменен горизонтальн двум точк лин математик обознача букв m уравнен y mx b
small paramet approxim;mathemat techniqu simplifi complex equat neglect term small coeffici appli perturb theori find approxim solut problem exact solut difficult imposs obtain;приближен мал параметр;математическ метод упрощен сложн уравнен пут пренебрежен член мал коэффициент применя теор возмущен нахожден приближен решен задач точн решен трудн невозможн получ
smallangl xray scatter;techniqu xray diffract analyz elast scatter xray low angl typic 0110 ° studi size shape structur nanoparticl polym biolog macromolecul solut solid state;малоуглов рентгеновск рассеян;метод рентгеновск дифракц анализир упруг рассеян рентгеновск луч мал угл 0110 ° изучен размер форм структур наночастиц полимер биологическ макромолекул раствор тверд состоян
smoluchowski equat;differenti equat describ time evolut particl aggreg coagul process colloid system;уравнен смолуховск;дифференциальн уравнен описыва времен эволюц процесс агрегац коагуляц частиц коллоидн систем
smoluchowski time;characterist time scale diffus motion particl distanc compar size signific colloid dynam reaction kinet;врем смолуховск;характерн времен масштабирован диффузион движен частиц расстоян сравним размер важн динамик коллоид кинетик реакц
sn1 mechan;twostep nucleophil substitut reaction step involv format carboc intermedi departur leav group follow attack nucleophil ratedetermin step unimolecular depend concentr substrat;механизм sn1;двухстадийн реакц нуклеофильн замещен образ карбокатион интермедиат уход уходя групп атак нуклеофил скорост определя концентрац субстрат
sn2 mechan;type nucleophil substitut reaction nucleophil attack electrophil center molecul lead simultan departur leav group reaction proce singl transit state invers configur carbon center;механизм sn2;тип реакц нуклеофильн замещен нуклеоф атак электрофильн центр молекул привод одновремен уход уходя групп реакц протека переходн состоян инверс конфигурац углеродн центр
sodium d line;pair close space spectral line yellow region visibl spectrum emit absorb sodium atom wavelength approxim 5890 nm 5896 nm;длин натр;пар расположен спектральн лин желт област видим спектр излуча поглоща атом натр длин волн примерн 5890 нм 5896 нм
soft robot;subfield robot focus construct robot highli flexibl deform materi inspir biolog system enabl adapt safe interact human dynam environ;мягк робототехник;подраздел робототехник посвящен создан робот гибк деформируем материал вдохновлен биологическ систем адаптивн безопасн взаимодейств людьм динамичн сред
sol;colloid suspens solid particl liquid particl typic 1 1000 nanomet size;зол;коллоидн суспенз тверд частиц жидкост размер частиц составля 1 1000 нанометр
solder;fusibl metal alloy join metal part melt flow joint solidifi creat strong bond;прип;легкоплавк металлическ сплав используем соединен металлическ детал пут плавлен заполнен зазор послед затвердеван создав прочн соединен
solid state;state matter character structur rigid resist chang shape volum particl close pack fix arrang;тверд состоян;состоян веществ характериз структурн жесткост сопротивлен изменен форм объем частиц плотн упакова фиксирова порядк
solid state physic;branch physic studi properti solid includ atom structur electron properti interact focus crystallin materi applic technolog;физик тверд тел;раздел физик изуча свойств тверд тел атомн структур электрон свойств взаимодейств акцент кристаллическ материал применен технолог
solidliquid mixtur;heterogen mixtur compos solid particl dispers liquid medium solid dissolv remain suspend settl depend system properti condit;твердожидк сме;гетероген сме состоя тверд частиц распределен жидк сред тверд веществ растворя оста взвешен осевш зависим свойств систем
solidliquid phase boundari;line surfac phase diagram repres equilibrium solid liquid phase vari temperatur pressur;границ раздел тверд жидк фаз;лин поверхн фазов диаграмм представля равновес тверд жидк фаз различн температур давлен
solidst nmr;spectroscop techniqu studi atomiclevel structur dynam solid util nuclear magnet reson principl;твердотельн ямр;спектроскопическ метод используем изучен атомн структур динамик тверд тел основа принцип ядерн магнитн резонанс
solidvapour phase boundari;line surfac phase diagram separ solid vapour phase indic equilibrium condit;границ раздел тверд газообразн фаз;лин поверхн фазов диаграмм разделя тверд газообразн фаз указыва услов равновес
solubl;maximum substanc dissolv given solvent specif temperatur pressur form homogen solut key properti chemistri influenc process like crystal dissolut;растворим;максимальн количеств веществ способн раствор определен количеств растворител зада температур давлен образу однородн раствор важн свойств хим влия процесс кристаллизац растворен
solut concentr;solut dissolv given quantiti solvent solut typic express mole liter molar mass volum eg gl key paramet chemic reaction thermodynam transport phenomena;концентрац растворен веществ;количеств растворен веществ зада объем растворител раствор выража мол литр молярн масс обь гл важн параметр химическ реакц термодинамик процесс перенос
solutesolv interact;forc effect solut particl solvent molecul includ hydrogen bond dipoledipol interact london dispers forc influenc solubl solut properti;взаимодейств растворен веществорастворител;сил эффект частиц растворен веществ молекул растворител водородн связ дипольдипольн взаимодейств сил лондон влия растворим свойств раствор
solvent;substanc typic liquid dissolv substanc solut form solut major compon solut determin physic state solvent wide chemic reaction clean extract process;растворител;веществ жидкост растворя веществ растворен образован раствор основн компонент раствор определя физическ состоян растворител широк использ химическ реакц очистк процесс экстракц
solvent activ;measur effect concentr solvent solut reflect chemic potenti rel pure solvent;активн растворител;мер эффективн концентрац растворител раствор отража химическ потенциа относительн чист растворител
solvent contribut;effect solvent properti reactiv behavior solut solut includ solvat polar dielectr effect;вклад растворител;влиян растворител свойств реакцион способн поведен растворен веществ раствор сольватац полярн диэлектрическ эффект
solventaccess surfac;surfac trace center solvent molecul roll molecular structur repres area access solvent;доступн растворител поверхн;поверхн описыва центр молекул растворител движен молекулярн структур представля област доступн растворител
sp hybrid orbit;hybrid orbit form mix s p orbit result equival linear orbit orient 180 ° apart commonli found molecul tripl bond linear geometri;спгибридн орбитал;гибридн орбитал образова смешен s порбита созда две эквивалентн линейн орбита ориентирова угл 180 ° встреча молекул тройн связ линейн геометр
sp hybrid;type orbit hybrid s orbit p orbit combin form equival sp hybrid orbit typic result linear molecular geometri 180 ° bond angl seen molecul like acetylen c2h2;спгибридизац;тип гибридизац орбитал сорбитал порбитал объединя образу две эквивалентн спгибридн орбита привод линейн геометр молекул угл 180 ° ацетилен c2h2
sp2;hybrid atom orbit form mix s orbit p orbit result equival orbit trigon planar geometri commonli found doublebond carbon atom;sp2;гибридн атомн орбитал образова смешен сорбита двух порбитал приводя трем эквивалентн орбитал тригональн плоск геометр встреча атом углерод двойн связ
sp2 hybrid;form atom orbit hybrid s orbit p orbit combin form equival sp2 hybrid orbit typic found molecul trigon planar geometri like ethen;сп2гибридизац;тип гибридизац атомн орбитал сорбитал две порбита объединя три эквивалентн сп2гибридн орбита характерн молекул тригональн плоск геометр этил
sp3;hybrid orbit form mix s p atom orbit result tetrahedr geometri 1095 ° bond angl commonli found satur hydrocarbon like methan;sp3;гибридн орбитал образова смешен s трех p атомн орбитал приводя тетраэдрическ геометр угл связ 1095 ° встреча насыщен углеводород мета
sp3 hybrid;type atom orbit hybrid s orbit p orbit combin form equival sp3 hybrid orbit typic observ tetrahedr molecular geometri like methan ch4;сп3гибридизац;тип гибридизац атомн орбитал сорбитал три порбита объединя четыр эквивалентн сп3гибридн орбита характерн тетраэдрическ молекул мета ch4
space;boundless threedimension extent object event rel posit direct consid physic fundament concept;пространств;безграничн трехмерн протяжен объект событ имеют относительн положен направлен рассматрива физик фундаментальн понят
space group;mathemat descript symmetri crystal structur combin translat rotat reflect threedimension space;пространствен групп;математическ описан симметр кристаллическ структур объединя трансляц вращен отражен трехмерн пространств
space lattic;regular repeat arrang point threedimension space repres structur crystal;пространствен решетк;регулярн повторя расположен точек трехмерн пространств представля структур кристалл
space quantiz;quantiz orient angular momentum rel extern axi commonli observ atom molecular system magnet field;пространствен квантован;квантован ориентац углов момент относительн внешн ос наблюда атомн молекулярн систем магнитн пол
span;rang extent limit describ differ highest lowest valu set data measur;разм;диапазон разниц двум предел использ описан разниц наибольш наименьш значен набор измерен
specif heat capac;heat energi requir rais temperatur unit mass substanc degre celsiu kelvin typic measur jkg·k materialspecif properti indic energi substanc store thermal energi;удельн теплоемк;количеств теплов энерг необходим нагреван единиц масс веществ градус цельс кельвин измеря джкг·к свойств материа показыва способн накаплива теплов энерг
specif select rule;quantum mechan principl dictat allow transit energi level atom molecul base chang quantum number;специальн прав отбор;квантовомеханическ принцип определя разрешен переход энергетическ уровн атом молекул основ изменен квантов чисел
specif surfac area;total surfac area materi unit mass volum crucial adsorpt catalysi materi scienc determin reactiv interact properti;удельн поверхн;общ площад поверхн материа единиц масс объем важн адсорбц катализ материаловеден определя реакцион способн свойств взаимодейств
specif volum;volum occupi unit mass substanc typic express cubic meter kilogram m³kg reciproc densiti;удельн обь;обь занима единиц масс веществ выража кубическ метр килограмм м³кг явля обратн величин плотност
spectral branch;distinct set spectral line band molecul spectrum aris specif vibrat rotat transit;спектральн ветв;отдельн набор спектральн лин полос спектр молекул возника изз определен колебательн вращательн переход
spectral densiti;measur power energi distribut signal system differ frequenc signal process statist mechan;спектральн плотност;мер распределен мощност энерг сигна систем различн частот используем обработк сигнал статистическ механик
spectral line;dark bright line continu spectrum caus absorpt emiss light specif wavelength atom molecul identifi chemic element studi atom structur;спектральн лин;темн ярк лин непрерывн спектр вызва поглощен излучен свет определен длин волн атом молекул используем идентификац химическ элемент изучен атомн структур
spectral resolut;abil spectromet distinguish close space wavelength spectrum quantifi smallest wavelength differ resolv;спектральн разрешен;способн спектрометр различа две расположен длин волн спектр измеря минимальн различим разниц длин волн
spectral theorem;fundament result linear algebra function analysi provid condit linear oper matrix diagon typic involv eigenvector eigenvalu wide appli quantum mechan signal process field;спектральн теорем;фундаментальн результат линейн алгебр функциональн анализ устанавлива услов диагонализац линейн оператор матриц использован собствен вектор значен применя квантов механик обработк сигнал др
spectromet;instrument measur properti light specif portion electromagnet spectrum typic identifi materi analyz composit separ light compon wavelength;спектрометр;прибор измерен свойств свет определен част спектр идентификац материал анализ состав пут разделен свет составля длин волн
spectrophotometri;techniqu measur intens light function wavelength commonli appli chemic analysi determin concentr substanc solut absorpt emiss spectra;спектрофотометр;метод измерен интенсивн свет зависим длин волн применя химическ анализ определен концентрац веществ раствор спектр поглощен испускан
